SampleID	dataset	Description_country_zoo	captivity_status	Description	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	PD	SR
nw.hu.HADZA.342.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	114	114	0	114	4.96302115121107	3.33766366604995	0.928606776465625	14.0069316175156	17.263711415	114
nw.hu.HADZA.343.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	150	150	0.498330546257535	150.165254237288	5.34955484055398	3.51825528585578	0.894405687551916	9.47020702930047	17.985696351	150
nw.hu.HADZA.349.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	118	118	0.497876848158461	118.188235671106	4.34749788081673	3.55285747056286	0.932049444637805	14.7165831783086	17.281216285	118
nw.hu.HADZA.838.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	121	121	0	121	4.57986971556727	3.60088171501907	0.943700883276959	17.7622680106939	16.64040116	121
nw.hu.HADZA.839.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	134	135	2.3388822908326	134.384534853252	4.99885412196677	3.67257646582424	0.941110547266985	16.9809694875866	14.372625472	134
nw.hu.HADZA.834.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	139	139	0.49819819233807	139.152542372881	4.6367373331207	3.7521973216352	0.932920839302941	14.9077595725471	18.10544546	139
nw.hu.HADZA.3031.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	117	118	1.81649949990222	117.660020176049	5.19789661586239	3.32484868760859	0.895083379387811	9.53137829035089	13.396472687	117
nw.hu.HADZA.3025.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	148	148	0	148	4.82882672784679	4.07182367883506	0.963336015851107	27.2747226798641	18.294978391	148
nw.hu.HADZA.3032.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	70	70	0	70	3.8840332498209	2.80415260533629	0.879893860777963	8.32596906767044	9.804844833	70
nw.hu.HADZA.3185.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	113	113	0	113	3.80032602234416	3.41607488340456	0.898258636386093	9.82884408542865	13.089784233	113
nw.hu.HADZA.3182.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	108	108	0.497679801865803	108.177353269444	4.0810108618128	3.188845278833	0.888853535006142	8.99713724638261	13.061939306	108
